#z	  phi*	          upper            lower

15.9	0.00105869	0.0030900871	-0.0009727071
16	0.00105869	0.0030900871	-0.0009727071
16.1	0.00105869	0.0030900871	-0.0009727071
16.2	0.00105869	0.0030900871	-0.0009727071
16.3	0.00105869	0.0030900871	-0.0009727071
16.4	0.00105869	0.0030900871	-0.0009727071
16.5	0.00105869	0.0030900871	-0.0009727071
16.6	0.00105869	0.0030900871	-0.0009727071
16.7	0.00105869	0.0030900871	-0.0009727071
16.8	0.00105869	0.0030900871	-0.0009727071
16.9	0.00105869	0.0030900871	-0.0009727071
17	0.00105869	0.0030900871	-0.0009727071
17.1	0.00105869	0.0030900871	-0.0009727071
17.2	0.00105869	0.0030900871	-0.0009727071
17.3	0.00105869	0.0030900871	-0.0009727071
17.4	0.00105869	0.0030900871	-0.0009727071
17.5	0.00105869	0.0030900871	-0.0009727071
17.6	0.00105869	0.0030900871	-0.0009727071
17.7	0.00105869	0.0030900871	-0.0009727071
17.8	0.00105869	0.0030900871	-0.0009727071
17.9	0.00105869	0.0030900871	-0.0009727071
18	0.00105869	0.0030900871	-0.0009727071
